"AcceptedTaxonID","CommonName","Transliteration","Language","Country","Area","ReferenceID"
10657,"Alle",,"Marshallese","MH","Marshall Is",12356
10657,"Arinai",,"Kiribati","KI","Kiribati",27857
10657,"Arinamawa",,"Kiribati","KI","Kiribati",27857
10657,"Bagondon",,"Visayan","PH","Philippines",2858
10657,"Bagundun",,"Ilokano","PH","Philippines",31411
10657,"Balaki",,"Ilokano","PH","Philippines",58652
10657,"Bankilan",,"Tagalog","PH","Philippines",58652
10657,"Banog",,"Other","PH","Philippines",58652
10657,"Bayan",,"Malay","MY","Malaysia",5756
10657,"Bechok",,"Malay","MY","Malaysia",85449
10657,"Bugay-bugay",,"Visayan","PH","Philippines",58652
10657,"Bunak",,"Tagalog","PH","Philippines",47588
10657,"Bungat",,"Tagalog","PH","Philippines",2857
10657,"Buntugon",,"Cebuano","PH","Philippines",31411
10657,"Cave",,"Fwâi","NC","New Caledonia",5970
10657,"Danlugan",,"Other","PH","Philippines",58652
10657,"drividrivi",,"Fijian","FJ","Fiji",79890
10657,"Galihikkae",,"Mahl","IN","India",47702
10657,"Garde police",,"Creole, French","MU","Mauritius",5503
10657,"Girelle paon de Hardwicke",,"French","MU","Mauritius",5503
10657,"Girelle taches d'encre",,"French","MV","Maldives",5579
10657,"Isdang bato",,"Tagalog","PH","Philippines",58652
10657,"Kaashi hikaa",,"Maldivian","MV","Maldives",6113
10657,"Ketarap",,"Malay","MY","Malaysia",85449
10657,"Kolodau",,"Gela","SB","Solomon Is",26367
10657,"Kuppichulam",,"Malayalam","IN","India",47702
10657,"Labayan",,"Cebuano","PH","Philippines",31411
10657,"Labayan",,"Ilokano","PH","Philippines",31411
10657,"Labayan",,"Visayan","PH","Philippines",2857
10657,"Labayan",,"Waray-waray","PH","Philippines",31411
10657,"Lampalampa",,"Other","PH","Philippines",58652
10657,"Lape-ele'ele",,"Samoan","WS","Samoa",592
10657,"Liburbur",,"Carolinian","MP","N Marianas",6305
10657,"Lubayan",,"Waray-waray","PH","Philippines",31411
10657,"Lubay-Labayan",,"Surigaonon","PH","Philippines",31411
10657,"Lubay-lubay",,"Other","PH","Philippines",58652
10657,"Lubay-lubayan",,"Surigaonon","PH","Philippines",31411
10657,"Lulukdayan",,"Tagbanwa Calamian","PH","Philippines",
10657,"Mameng",,"Tagalog","PH","Philippines",31411
10657,"Maringyan",,"Bikol","PH","Philippines",58652
10657,"Molmol",,"Other","PH","Philippines",58652
10657,"Moon wrasse",,"English","MY","Malaysia",85449
10657,"Nihola",,"Malayalam","IN","India",47702
10657,"Nila-nila",,"Malay","MY","Malaysia",85449
10657,"Nuri",,"Malay","MY","Malaysia",85449
10657,"Nuri belang ",,"Malay","MY","Malaysia",85449
10657,"Pakou",,"Tuamotuan",,"Tuamoto Is",12415
10657,"Parrotfish",,"English","MY","Malaysia",4789
10657,"Pilo-pilo",,"Other","PH","Philippines",58652
10657,"Pirat-pirat",,"Other","PH","Philippines",58652
10657,"Po'ou",,"Tahitian",,"Tahiti",13767
10657,"Senasujibera",,"Japanese","JP","Japan",6110
10657,"Senganangan",,"Carolinian","MP","N Marianas",6306
10657,"Sesbalk-lipvis",,"Afrikaans","ZA","South Africa",4392
10657,"Six-banded wrasse",,"English","AU","Australia",75154
10657,"Six-banded wrasse",,"English","MY","Malaysia",85449
10657,"Six-banded wrasse",,"English","PG","Papua N Guin",41468
10657,"Sixbar wrasse ",,"English","MY","Malaysia",85449
10657,"Sixbar wrasse",,"English","AU","Australia",2334
10657,"Sixbar wrasse",,"English","SB","Solomon Is",26367
