"AcceptedTaxonID","Distribution","StandardInUse","DistributionStatus"
10657,"Indo-Pacific:  East Africa to the Line and Tuamoto islands, north to southern Japan, south to the Lord Howe and Austral islands.","Text",
11048,"Africa:  Lakes Malawi, Chiuta and Chilwa; Lower Zambezi, Buzi, Pungwe and Save River systems.","Text",
11127,"Africa:  Endemic and occurring throughout Lake Malawi (Nyasa).","Text",
22954,"Circumtropical.  Indo-Pacific:  East Africa (Ref. 3287) to Rapa, north to southern Japan and the Hawaiian Islands, south to New Caledonia.  Eastern Pacific:  Mexico to Peru, including the Galapagos Islands (Ref. 5530).  Western Atlantic:  Nova Scotia, Can","Text",
23106,"Circumglobal.  Western Atlantic:  Nova Scotia, Canada and Bermuda to approximately Rio de Janeiro, Brazil (Ref. 57756).  Appears to be absent from the Gulf of Mexico (Ref. 9626).  Eastern Atlantic:  St. Helena, Ascension, Cape Verde, and Gulf of Guinea (R","Text",
23107,"Western Atlantic:  Nova Scotia, Canada (Ref. 7251) southward through the Gulf of Mexico and the Caribbean to Rio de Janeiro, Brazil.  Eastern Atlantic:  Morocco to South Africa, including the Madeira, Canary, Cape Verde, Ascension and St. Helena islands (","Text",
23192,"Circumtropical in tropical seas.  Western Atlantic:  Nova Scotia, Canada to Argentina (Ref. 7251).  Eastern Atlantic:  British Isles (rare vagrant) and Bay of Biscay to Angola, including the Mediterranean and Canary Islands.  Eastern Pacific:  Vancouver I","Text",
23222,"Circumglobal in temperate and tropical waters.  Western Atlantic:  Newfoundland, Canada to Argentina.  Central Atlantic.  Eastern Atlantic:  Norway to South Africa, including the Mediterranean.  Indo-West Pacific:  East Africa to Indonesia, Japan, Austral","Text",
23551,"Worldwide in tropical waters.  Eastern Atlantic:  probably throughout the tropical region, apparently uncommon in the Gulf of Guinea and absent in Benguela current (Ref. 4498).  Western Atlantic:  northern South America (Ref. 5217); uncommon in the Caribb","Text",
23749,"Western Atlantic:  North Carolina, USA and Bermuda to southern Brazil.  Eastern Atlantic:  Mediterranean, Azores, Madeira, the Canary Islands, Cape Verde, Ascension and St. Helena Island.  Indo-Pacific:  South Africa, Japan, Hawaii (Ref. 26145), Australia","Text",
23881,"Southeast Atlantic:  St. Helena and Ascension islands (Ref. 7097).  Western Indian Ocean:  southern Red Sea, off Oman and Sri Lanka.  Eastern Pacific:  Hawaiian and Revillagigedo islands (Ref. 9283).  Reported from the Arafura Sea (Ref. 9819).  Verified r","Text",
23898,"Circumtropical.  Western Atlantic:  New York, USA southward to Bahamas and Cuba; Panama (Ref. 6871) to Uruguay (Ref. 58839).  Eastern Atlantic:  Portugal to Angola, including the Mediterranean.  Indo-Pacific:  Arabian Sea, Madagascar, South Africa, southe","Text",
24787,"Asia: Native to Siberia (Tugur and Amur drainages), Sakhalin, Korea, Japan, China south to northern Vietnam.  Europe:  Introduced in several localities in Rhine (Germany) and Ticino (Italy, north of Milano) drainages, Aral Sea basin, North America, Austra","Text",
26672,"Antiequatorial.  Indo-West Pacific:  southern Africa to the islands of southern Oceania.  Western Central Pacific:  From Taiwan to southern Japan.","Text",
26673,"Western Indian Ocean:  southern Red Sea to Natal, South Africa and east to Sri Lanka.","Text",
26678,"Indo-Pacific:  Red Sea and East Africa to the western Pacific.","Text",
29523,"Circumglobal, in subtropical waters, and with a series of disjunct poplulations.  Indo-Pacific:  South Africa, Walter Shoals, Amsterdam Island, Japan, Australia, New Zealand, New Caledonia, Hawaii, Rapa, Pitcairn Island, and Easter Island.  Eastern Pacifi","Text",
58485,"Cosmopolitan in temperate and tropical seas (Ref. 6871, 11230).  Western Atlantic:  Gulf of Maine to southern Brazil and Argentina (Ref. 58839), including the Gulf of Mexico and Caribbean.  Eastern Atlantic:  Norway to South Africa, including the Mediterr","Text",
112090,"South America: Negro River basin.","Text",
112093,"South America:  Upper Amazon River basin.","Text",
112094,"South America:  Approuague River basin.","Text",
112095,"South America:  Araguaia River basin in Brazil.","Text",
112096,"South America:  Upper Amazon River basin.","Text",
149118,"Indo-Pacific:  Red Sea and East Africa to the Marshall Islands and Samoa.","Text",
10657,"AS","ISO2Alpha","native"
10657,"AU","ISO2Alpha","native"
10657,"CC","ISO2Alpha","native"
10657,"CK","ISO2Alpha","native"
10657,"CN","ISO2Alpha","native"
10657,"CX","ISO2Alpha","native"
10657,"FM","ISO2Alpha","native"
10657,"GU","ISO2Alpha","native"
10657,"HK","ISO2Alpha","native"
10657,"ID","ISO2Alpha","native"
10657,"IN","ISO2Alpha","native"
10657,"JP","ISO2Alpha","native"
10657,"KI","ISO2Alpha","native"
10657,"LK","ISO2Alpha","native"
10657,"MG","ISO2Alpha","native"
10657,"MH","ISO2Alpha","native"
10657,"MP","ISO2Alpha","native"
10657,"MU","ISO2Alpha","native"
10657,"MV","ISO2Alpha","native"
10657,"MY","ISO2Alpha","native"
10657,"MZ","ISO2Alpha","native"
10657,"NC","ISO2Alpha","native"
10657,"NF","ISO2Alpha","native"
10657,"NU","ISO2Alpha","native"
10657,"PF","ISO2Alpha","native"
10657,"PG","ISO2Alpha","native"
10657,"PH","ISO2Alpha","native"
10657,"PW","ISO2Alpha","native"
10657,"RE","ISO2Alpha","native"
10657,"SC","ISO2Alpha","native"
10657,"SO","ISO2Alpha","native"
10657,"TH","ISO2Alpha","native"
10657,"TO","ISO2Alpha","native"
10657,"TW","ISO2Alpha","native"
10657,"TZ","ISO2Alpha","native"
10657,"VN","ISO2Alpha","native"
10657,"VU","ISO2Alpha","native"
10657,"WS","ISO2Alpha","native"
10657,"ZA","ISO2Alpha","native"
11048,"MW","ISO2Alpha","native"
11048,"MZ","ISO2Alpha","native"
11048,"TZ","ISO2Alpha","native"
11048,"ZM","ISO2Alpha","native"
11048,"ZW","ISO2Alpha","native"
11127,"MW","ISO2Alpha","native"
11127,"MZ","ISO2Alpha","native"
11127,"TZ","ISO2Alpha","native"
22954,"AE","ISO2Alpha","native"
22954,"AG","ISO2Alpha","native"
22954,"AI","ISO2Alpha","native"
22954,"AO","ISO2Alpha","native"
22954,"AS","ISO2Alpha","native"
22954,"AU","ISO2Alpha","native"
22954,"AW","ISO2Alpha","native"
22954,"BB","ISO2Alpha","native"
22954,"BD","ISO2Alpha","native"
